sentences
"1	« 10 000 décès par semaine, c’est 10 000 de trop »"
"1804	A l'échelle du pays, une femme à temps plein gagne 18% de moins qu'un homme (pour rappel, selon l'Insee, en 2020 le salaire mensuel net moyen des femmes en France est inférieur de 16% à celui des hommes)."
"1805	A l’échelle mondiale, la Suisse est première pour la douzième année consécutive, devant les Etats-Unis et la Suède."
"1806	À l’échelle nationale, elle n’a pas été la plus longue, ni la plus intense, ni la plus sévère."
"1807	A l'échelle nationale, la proportion de parcelles de maïs grain considérées en état ""bon à excellent"" est passée de 75% à 68% en une semaine, selon le dernier baromètre CéréObs de FranceAgriMer publié le 29 juillet."
"1808	«À l’échelle provinciale, on perd des atouts."
"1809	À l’échelle régionale, Vincent Caron entrevoit un avenir prometteur pour l’agrotourisme dont la valorisation pourrait éventuellement reposer sur la création d’un pôle gourmand."
"1810	À l'échelon supérieur, le premier procès de la Cour pénale spéciale doit s'achever fin octobre."
"1811	À l’école, comme à l’armée, l’ancien capitaine Jair Bolsonaro veut des élèves et des professeurs au pas de l’oie."
"1812	À l’école, je faisais partie du conseil étudiant."
"1813	A l’Ecole nationale supérieure des arts décoratifs, nous avons mis en place un plan de transition en trois volets."
"1814	« À l’école secondaire, quand j’ai commencé à prendre le soccer plus au sérieux, je me suis demandé si je voulais traîner dehors ou faire mes devoirs à la maison, et c’est la possibilité de devenir professionnel qui m’a gardé dans le droit chemin."
"1815	À l’écouter, nous serions dans un pays ultralibéral."
"1816	À l'écran, ce dernier incarne Lee, un adolescent cannibale."
"1817	À l’écran des personnes qui voulaient utiliser ces sites, les pirates ont fait paraître ce message : « Soyez effrayés et attendez-vous au pire »."
"1818	A l’écran, il aura aussi joué dans plusieurs films de Claude Chabrol (« La femme infidèle », « Poulet au vinaigre ») et sous la direction de François Truffaut (« La mariée était en noir », en 1967, et « La Sirène du Mississippi » en 1968)."
"1819	A l’écrit, il suffit de choisir, dans les préférences du correcteur de Word, le mode «français orthographe rectifiée»."
"1820	Aleeza, qui prend plaisir à son emploi, ne travaille actuellement que huit heures par semaine."
1821	A l’egard de senior permettant creer les represente condition border ceux-la juxtaposition chatons ainsi qu’un chef d’investigation union offert site.
"1822	À l’égard du RN, les sondages prouvent depuis des décennies que la moitié environ de l’électorat de droite est partisane, sous une forme ou sous une autre, d’accords avec le parti de Marine Le Pen."
"1823	À l’église de Cap-Santé, à 14 h. Billet : 20$ au profit du Conseil du patrimoine culturel de Cap-Santé."
1824	Alejandro Romero est portier dans un immeuble luxueux de Los Angeles où vivait le couple.
1825	Aleksander Aamodt Kilde a donné le ton.
"1826	À l’Élysée, Valérie Pécresse compte aussi baisser les comptes publics en tapant sur les prestations sociales (chômage, retraite, allocations…)."
"1827	À l’en croire, 1 % d’augmentation coûterait 2 milliards d’euros à l’État."
"1828	A l’en croire, avant de demander aux ferrailleurs et autres artisans de libérer cet espace, le gouvernement a trouvé un endroit où les recaser à savoir la nouvelle casse de N’dotré."
"1829	A l’en croire, ce partenariat, vise à consolider l’industrie de la ferraille dans le pays, ils exigent plus de considération à leur égard, vu qu’ils sont les principaux fournisseurs de la matière première."
"1830	A l’en croire, il s’agit d’un élan de solidarité à l’endroit surtout des indigents ou des personnes démunies et tous ceux qui sont dans le besoin et qui fréquentent les églises en cette période de pénitence et de partage."
"1831	A l’en croire, les examens du BFEM se doutent dans de très bonnes conditions sur l’ensemble du territoire national."
1832	Alenia Space ne cache pas ses ambitions dans les communications quantiques : l’entreprise vise la création d’un réseau internet quantique de bout en bout d’ici à 2035.
"1833	À l’énoncé du verdict, Gabriel (1) est resté imperturbable."
"1834	A l’entame de cette tournée, c’est la ville de Bouaké qui accueillera la première étape, samedi 02 avril 2022 à la place du carnaval."
"1835	À l'entame du dernier tour du circuit local côtier, Julie Hendrickx, Kim De Baat, Fauve Bastiaenssen ont pris la poudre d'escampette, rejointes ensuite par Sara Maes, Fien Van Eynde et Lone Meertens."
1836	À l'entracte de 4 heures du matin (!
"1837	À l'entraînement, cela se passe de mieux en mieux."
"1838	A l'entrée d'Auxerre (Yonne), Jean-Claude, 50 ans, fait passer sa Renault Mégane entre les rouleaux d'une station Total."
"1839	À l’entrée de la salle polyvalente, où se tiendra le vote, une affiche présentera tous les noms des candidats déclarés que l’on peut trouver en ligne sur le site officiel du gouvernement."
"1840	À l’époque, 100 000 euros et plusieurs kilos de cocaïne et de cannabis avaient été saisis."
"1841	À l’époque, 17 millions de personnes ont refusé de payer la taxe."
"1842	À l’époque, bien des sociétés ont été forcées de fermer, dépitées par des décisions de justice."
"1843	À l’époque, c’était le plus grand avant-poste illégal de Cisjordanie avec une population de plus de 300 habitants."
"1844	À l’époque, c’était lié au Covid et aux changements des pratiques durant cette période."
"1845	A l'époque, cette filiale de la Caisse des dépôts (cotée en Bourse en 1994) avait fédéré les domaines skiables d'une dizaine de nouvelles stations françaises comme Tignes ou Les Arcs, au bord du gouffre financier."
"1846	À l’époque, cette invention avait été jugée inutile et elle ne fut pas développée."
"1847	À l’époque, dans l’Hexagone, le mouvement Fluxus, à sa façon, n’est pas en reste, qui estime que l’art est ce qui rend la vie plus intéressante que l’art…"
"1848	À l’époque de Nolan Ryan, le salaire moyen d’un ménage américain était d’environ 30 000 $."
"1849	À l'époque de sa sortie en 2008, Dead Space premier du nom a posé les fondations solides qui auront permis à la licence de briller autant (du moins jusqu'au deuxième opus)."
"1850	À l’époque, des géologues de l’ancienne Union soviétique cherchaient du gaz lorsqu’ils ont trouvé un énorme espace souterrain."
"1851	À l’époque, elle était présentée sous la forme d’une robe courte et légère dont les lignes étaient en toute simplicité."
"1852	A l’époque, en 1945, le camp du nord de l’Allemagne était couvert de baraquements que l’armée britannique s’était empressée de brûler pour, selon elle, stopper les épidémies."
"1853	À l’époque, en soirée, la SNSM d’Ouistreham, au nord de Caen, s’engage sur son sauvetage."
"1854	À l’époque, Gilles Le Gendre avait déjà nié les faits qui lui étaient reprochés."
"1855	À l’époque, il avait déjà menacé l’application d’une «suspension pure et simple au Brésil»."
"1856	À l’époque, il effectuait un stage professionnel, a-t-il expliqué à la barre de la 9 chambre correctionnelle du tribunal d’arrondissement de Luxembourg."
"1857	A l’époque, il faut dire que c’était devenu une façon originale de laisser sa trace dans un jeu vidéo, mais… Il aura fallu quelques longues années pour que cet Easter Egg soit débusqué tellement le processus est complexe."
"1858	À l’époque, il ne s’est pas encore intéressé à la partie de sa famille qui n’est pas revenue d’Auschwitz, camp qu’il ne photographiera qu’en 2000."
"1859	""À l’époque, il n’y avait pas l’autoroute, alors nous traversions forcément Vintimille, Menton, Monaco, Beaulieu."
"1860	À l’époque, ils réclament déjà un uniforme officiel."
"1861	À l’époque, ils sont passés « pour des illuminés."
"1862	À l’époque, j’ai eu du mal à réaliser, mais c’est mon dernier match à Mayol."
1863	À l’époque Jean-Paul II devait se rendre aux États-Unis mais n’était pas suffisamment remis d’une opération au col du fémur.
"1864	À l’époque, je me sentais surclassé et considérais que ma place était à l’arrière du peloton."
"1865	À l'époque, j'étais jeune et naïve."
"1866	À l’époque, l’accusé qui entretenait de mauvaises fréquentations à Montréal-Nord s’était mis en tête qu’il valait mieux être armé pour lui."
"1867	À l’époque, la chaine de grands magasins Sears a fait paraitre une annonce avec un numéro de téléphone pour appeler le père Noël."
"1868	A l'époque, la déclaration était passée inaperçue, car plus personne n'espérait vraiment voir sortir."
"1869	À l'époque, la presse américaine écorne l'image du réalisateur, remettant en cause sa prétendue morale et ses précédentes histoires d'amour qui se sont mal terminées."
"1870	À l’époque, la presse britannique écrivait que le fils de la reine Elizabeth avait mis 12 millions de livres sur la table pour en finir avec cette affaire, mais des sources affirment aujourd’hui que ce n’est pas tout à fait exact."
"1871	À l'époque, l'arcade et les jeux de combat sont à la mode (King of Fighters)."
"1872	A l’époque, la Région bruxelloise l’avait instauré pour une durée de trois mois, soit jusqu’au 15 janvier 2022."
"1873	À l’époque, la vice-première ministre verte, Asa Romson, était venue en larmes face à la population annoncer un durcissement de la politique migratoire."
1874	À l'époque le chanteur devient «Gainsbarre» et fortifie son image de poète maudit.
"1875	A l’époque, le chef de la rébellion, Zayd Ouhmad Ouskounti était déjà célèbre dans les salons politiques français."
"1876	À l’époque, le compagnon de Virginie avait donné sa version des faits."
"1877	À l'époque, l'édile avait prévu cette nouvelle limitation pour le début du mois d'avril."
"1878	À l’époque, le fils vit chez son père depuis un an."
"1879	À l’époque, le jeu était développé et édité par Squaresoft, devenu Square Enix en 2003."
"1880	« À l’époque, le premier ministre Maurice Duplessis avait imposé qu’une communauté religieuse soit liée au futur hôpital."
"1881	À l’époque, les Britanniques étaient priés de réduire drastiquement leurs interactions sociales pour lutter contre la propagation du Covid-19."
"1882	«À l’époque, les hausses atteignaient 10 à 12% par an», soit le double du rythme actuel, rappelle Sandra Daza."
"1883	A l'époque, Luka Elsner n'avait pas été tendre avec son portier, anciennement capitaine."
"1884	A l'époque, nous étions dans un contexte terroriste qui était très puissant et qui a diminué aujourd'hui fort heureusement."
"1885	À l’époque, on avait plus de chances de terminer en garde à vue que d’être payés pour ça"", sourit Tim Marsh qui a fait de Barcelone son terrain de jeu."
"1886	« À l’époque, on a vécu un gros battage médiatique sur cette nouvelle entité."
"1887	À l’époque, on partait à l’intérieur du pays, à Mamou, à Kindia, pour 1 million 500 000 francs guinéens (un peu plus de 170 euros, ndlr)."
"1888	À l’époque où j’ai joué au Racing, le club était en National."
"1889	A l’époque où Karim Benzema et Samir Nasri étaient au moment de réflexion entre qui de la France et l’Algérie allaient représenter sur le niveau international, c’est le français Jean-Michel Cavalli qui étaient sélectionneur des Verts."
"1890	À l’époque où la COOP était faite sur le long, quand le gros loader à Langis venait pelleter, il poussait toujours la neige en tas en arrière du magasin."
"1891	A l'époque, sa théorie est critiquée par ses pairs."
"1892	À l’époque, seuls quelques arbres occupaient le site de ce qui allait devenir cette infrastructure gouvernementale."
"1893	À l’époque, un sculpteur, Yves Cesnoz (Pierre Arditi), avait été arrêté."
"1894	À l’épreuve mixte des sauts en ski acrobatique, ce sont trois représentants du Québec (Miha Fontaine, Marion Thénault et Lewis Irving) qui décrochent le bronze de cette nouvelle compétition par équipe."
1895	Alep-Sana/ Après des années d’interruption du fait des crimes des terroristes qui ont causé de …
"1896	À l’épuisement du pétrole suivront à des échéances diverses celles du gaz, du cuivre, de l’uranium, bref, de toutes les matières premières."
"1897	À l'ère du selfie, certains ne supportent toujours pas de voir leur image capturée par un smartphone ou un appareil photo."
"1898	Alerté à 1 h 37 ce samedi matin, le Service incendie et secours (SIS) de Genève est intervenu au quai des Vernets."
"1899	Alertée par les fournisseurs «», l'année dernière, la DGCCRF s'est penchée sur ce dossier, menant une enquête auprès de «» professionnels."
1900	Alerte rouge à Madagascar.
"1901	Alertés de cette agression, les services de secours de Wallonie picarde ont dépêché sur place un SMUR et deux ambulances."
"1902	Alertés, les gendarmes arrivent vite sur les lieux, avant que la situation ne dégénère."
"1903	Alertés, les gendarmes du Peloton de surveillance et d’intervention de la gendarmerie ont connu une intervention mouvementée."
"1904	Alertés par la compagne de la victime, les secours sont arrivés rapidement sur les lieux mais ne sont pas parvenus à le réanimer."
"1905	Alertés par les cris, les voisins préviennent les gendarmes."
"1906	Alertés par le vacarme en pleine nuit, ce sont les résidents de la demeure, qui n’ont heureusement pas été blessés dans l’accident, qui ont contacté les autorités en premier."
"1907	Alertés peu après 22 h 30, les policiers de la MRC des Maskoutains à Saint-Hyacinthe ont tenté d’intercepter le véhicule suspect, mais le conducteur a poursuivi son chemin sur l’autoroute 20 en direction ouest, déclenchant une poursuite policière."
"1908	Ales Bialiatski, activiste biélorusse et Prix Nobel de la paix 2022, lors de son premier procès à Minsk en 2011."
"1909	À l’Escarène, cette affaire tragique a été couverte par une omerta."
"1910	À les guider, les écouter."
1911	Alessandra Sublet part mais reste sur le petit écran.
"1912	Alessandro Albanese s'est vu montrer un bristol rouge, après intervention du VAR, à la 55e lors de la victoire d'Ostende sur Malines (2-1) samedi, pour une faute sur Storm."
"1913	À l’est, la « province de Québec » est limitée à la rivière Saint-Jean (un peu avant Havre-Saint-Pierre)."
"1914	A l'Est, les villes de Severodonetsk et Lyssytchansk constituent la dernière poche de résistance ukrainienne dans la région de Lougansk, dans le Donbass."
"1915	A l'est mer cristalline, pas de vent et hordes de touristes, de paillotes jets ski etc etc."
"1916	A l’étage, la parole est donnée aux enfants."
"1917	À l’étape actuelle, un bilan officiel ne peut être établi au regard de la complexité de la situation."
"1918	À l’été 2021, les deux hommes s’étaient même battus devant la résidence familiale."
"1919	A l’été 2021, nous évoquions déjà le succès impressionnant de Pac-Man 99 sur Nintendo Switch car le jeu franchissait le cap symbolique des 6 millions de téléchargements."
"1920	À l’été 2022, il est sélectionné pour participer au Congrès Stockholm+50, en Suède, une rencontre cruciale pour l’environnement et la biodiversité."
"1921	A l’étranger, le patron du renseignement intérieur britannique a averti mercredi que la République islamique cherchait à «kidnapper ou tuer» des Britanniques qu’elle considère comme des «ennemis du régime»."
"1922	À l’étranger, notre lieu de provenance est une carte de visite."
"1923	À l’étranger, on les installe dans ce qu’on appelle la « staff room »!"
"1924	À l’étranger, Paris et Vienne ont déjà annoncé interdire ces convois."
"1925	A leur arrivée au Mali, dans le cadre de la 8° rotation, le dimanche 10 juillet 2022, une copie de l’ordre de mission du contingent a été transmise aux autorités aéroportuaires maliennes, pour attester de la régularité de la mission."
"1926	A leur arrivée au pouvoir à l'été 2021, les talibans ont interdit les écoles secondaires aux jeunes filles."
"1927	À leur arrivée, ils activent leur “bodycam” et constatent qu’un homme chevauche."
"1928	À leur arrivée, les policiers ont trouvé un homme de 36 ans en détresse médicale, qui semblait avoir reçu des coups de couteau."
"1929	À leur arrivée sur les lieux, les policiers ont localisé la victime à bord d’une voiture, à l’intersection des rues Bergevin et Clément."
"1930	À leur complicité, on pourrait croire qu’ils ne se sont jamais quittés."
"1931	A leur descente de l’appareil, Kate Middleton et le prince William ont été accueillis par la gouverneure générale Froyla Tzalam."
"1932	A leur époque, ils ont voulu mettre leurs pays en fédération, en y ajoutant le Ghana de Kwame Krumah."
"1933	À leur jeune âge, ils apprennent à dépasser tout le monde alors que ce n'est pas nécessaire"", a notamment pesté Silvia Taulés, journaliste chez Des photos de Shakira au moment des faits ont circulé sur Twitter."
"1934	A l’Euro, la première place après le premier tour n’avait pas porté chance aux Diables, vu qu’ils avaient des adversaires plus forts aux prochains tours."
"1935	À leur premier match de séries éliminatoires depuis 2016, les Mets ont trébuché devant une salle comble de 41 621 personnes."
"1936	A leur réveil, les personnes étudiées ne parviennent pas à se souvenir de séquences de sons complexes."
"1937	À leurs 19 derniers matchs, les Chiefs ont amassé au moins 300 verges d’attaque, un record de franchise."
"1938	À leurs yeux, elle perpétue les stéréotypes artificiels qui forcent les enfants à se définir très tôt comme garçons ou filles, c’est-à-dire à se conformer à des normes oppressives de genre, contraires à leur identité naturelle""."
"1939	A leurs yeux, l’expression du “’plus profond regret” est plus indiquée, soit une formule comparable à celle du Roi au mois de juin dernier lors de son voyage en RD Congo."
"1940	À l’évidence, ce Villeurbannais de 26 ans a l’instinct de fuir ses responsabilités."
"1941	À l’évidence, la fin des Oiseaux signe également la fin de l’hospitalisation de longue durée pour traiter l’obésité."
"1942	À Lévis, le chemin du Fleuve a aussi dû être fermé à la circulation de 7h40 à 9h, en raison d’eau sur la chaussée à la hauteur des parcs de l’Ancre et de l’Anse-Benson."
1943	Alexanda Kotey a plaidé coupable pour son implication dans ces meurtres en septembre et été condamné à la prison à perpétuité en avril.
1944	Alexandar Georgiev a stoppé 13 tirs pour porter sa fiche à 10-9-2 cette saison.
"1945	Alexander Bah (60e), Rafa Silva (63e) puis Neres (68e) ont même été à deux doigts de faire tourner la soirée à la punition."
"1946	Alexander Blockx, associé à l'Américain Leanid Boika, avait déjà été éliminé par Kilian Feldbausch, et son compatriote Dylan Dietrich, mardi au 1er tour du double juniors."
1947	Alexander De Croo a eu un entretien samedi soir avec le président ukrainien.
"1948	Alexander De Croo (Open Vld) avait déjà émis une telle mise en garde relative à la crise énergétique en ce début d'année scolaire, suscitant de vives réactions."
"1949	Alexander De Croo (Open VLD) se verrait bien devenir le Premier ministre d'une Vivaldi 2 après le scrutin électoral de 2024, a-t-il déclaré le week-end dernier dans une interview accordée à et à la presse flamande."
"1950	Alexander Dougin, le père de Daria, a qualifié le meurtre de sa fille d’ « attaque terroriste » et en a accusé le « régime ukrainien nazi »"
1951	Alexander Zverev rattrape son retard de deux sets sur Sebastian Baez.
1952	Alexandra Dovgan a le temps pour elle…
1953	Alexandra Duguay est l’une des 30 candidates à avoir atteint l’étape de l’audition finale.
1954	Alexandra et Lucie ont toutes deux 34 ans.
"1955	Alexandra Martin, elle, devance le candidat LREM de 14 points dans une circonscription très cannoise où ce très bon résultat est aussi celui du maire David Lisnard."
"1956	Alexandra Tourigny-Fleury a reçu le prix « Début de carrière professionnelle » pour le projet « Pandéformance, rafistoler le tissu social », dont elle était la commissaire et qui a été présenté à l’Atoll de Victoriaville."
1957	Alexandre Astier ne s’adresse pas qu’aux lecteurs et connaisseurs des grands textes de Chrétien de Troyes (généralement étudiés au collège).
"1958	Alexandre et Raphaël, respectivement 7 ans et 9 ans, dormaient encore quand leurs parents, François et Caroline, les ont dépêchés du lit pour venir s‘asseoir dans le hall de la salle municipale de la Bourse."
1959	Alexandre évite de regarder les chaînes d’info continue et la promenade des Anglais.
"1960	Alexandre Gosselin (2), assisté par Frédéric Bergeron et Yannick Tifu, a fait un but à 13:44."
"1961	Alexandre Juving-Brunet, lors de la campagne des dernières élections législatives dans le Var."
"1962	Alexandre Juving-Brunet, présenté comme une figure du complotisme d’extrême droite, est maintenu en détention provisoire."
"1963	Alexandre Latz, directeur de Concept emballages, à Brignoles, qui commercialise des cartons, BIB, et autres bouteilles auprès des vignerons, relativise également: ""Actuellement, on n’a pas de conséquence de ce conflit."
1964	Alexandre Novak l’a d’ailleurs souligné en affirmant qu’« il est tout à fait évident que le refus d’acheter le pétrole russe va aboutir à des conséquences catastrophiques pour le marché mondial ».
"1965	Alexandre Racicot a procuré les devants aux locaux à 1:06, puis Steve Bergeron créait l’égalité cinq minutes et demie plus tard, à 6:34."
1966	Alexandre Saumet (à droite) quitte La Hune et laisse le gouvernail à Quentin Blanc (à gauche).
1967	«Alexandre s’est même fait dire que nous allons jouer dans le même trio.
1968	Alexandre Wajnberg est musicien et journaliste scientifique issu de l'ULB.
"1969	Alexane Baribeau, de l'Académie Les Estacades, a remporté le titre de Joueuse par excellence de la Ligue, dans la catégorie Juvénile…"
1970	Alex Bono a cependant plongé à sa gauche pour faire dévier le ballon contre la barre horizontale et sauver les meubles.
"1971	A l'exception de l’annulation de la conférence de presse, le ministre poursuivra le reste de ses activités à distance, et participera ce jeudi aux travaux du conseil du gouvernement qui sera tenu par visioconférence, conclut la même source."
"1972	À l’exception des personnels et visiteurs des établissements de santé et structures d’hébergement collectif pour personnes âgées, la présentation du pass sanitaire ne sera plus obligatoire pour les usagers et clients."
"1973	À l’exception des Yoruba, les expériences de retour en Afrique se sont soldées par un échec, en ce sens qu’elles étaient majoritairement pensées de l’extérieur."
"1974	À l’exception du bloc central, constitué autour du chef de l’État, les autres…"
"1975	Alex Drover a lui aussi joué une saison complète, mais il est demeuré à Rimouski en raison d’une blessure."
"1976	Alexeï Mordachov est né en 1965 à Tcherepovet, à 375 kilomètres au nord de Moscou, de parents mineurs."
"1977	Alex Iaffallo et Drew Doughty ont aussi inscrit des buts pour les Kings, tandis qu’Anze Kopitar a fourni deux mentions d’aide."
"1978	Alexis et moi étions assis là, seuls avec notre bébé."
"1979	Alexis Forel n’aura peut-être pas brillé par sa flamboyance, mais plutôt par sa modestie et sa générosité."
"1980	Alexis Galarneau a continué de marcher droit devant, mercredi soir, au Challenger Banque Nationale de Drummondville."
"1981	Alexis Gendron a marqué deux fois et l’Armada a stoppé une série de cinq défaites, l’emportant 3-1 devant l’Océanic."
1982	Alexis Laneshoa est du genre tenace.
"1983	Alexis Légère, propriétaire des Racines Légère, à Bertrand, près de Caraquet, est de ceux qui veulent déboulonner certaines idées reçues sur la paysannerie au Nouveau-Brunswick."
1984	Alexis Pinturault (15e à 1’’20) : « C’était plutôt correct en haut et moins bien en bas.
"1985	Alexis Pinturault, qui faisait figure de favori, ne s’est pas porté candidat."
1986	Alexis Saelemaekers risque fortement de manquer la Coupe du monde au Qatar.
1987	Alex Labbé participera à l’épreuve de la série NASCAR Pinty’s qui aura lieu au circuit ICAR de Mirabel samedi après-midi.
1988	Alex Lucas et Konoba constituent les têtes d'affiche de ce Mons Sunset Festival qui sera bouclé par un set du DJ Funky Fool.
1989	Alex Nedeljkovic a accordé quatre buts sur 21 tirs.
"1990	Alex Pietrangelo, auteur d’un but et de deux aides, Mark Stone et Reilly Smith ont aussi fait vibrer les cordages pour les Golden Knights."
"1991	À l’extérieur du stade, plusieurs «biens publics et privés dans les rues principales ont été vandalisées, alors que des magasins ont été cambriolés, ajoute la même source."
"1992	À l’extérieur, Joe Biden se fait fort de garder une ligne de communication ouverte avec Xi Jinping et Vladimir Poutine."
"1993	A l'extrême ouest des Etats-Unis, Seattle est l'une des villes les plus attractives du pays."
"1994	À l’extrémité occidentale du croissant ceinturant les seize palmes, un hôtel avant tous les autres, que l’émir a voulu et que le Français Émile Louis a savamment élevé."
"1995	À l’extrémité supérieure, cela pourrait représenter 10 à 12 %."
1996	Alex W. Inker montre aussi qu’il continue à être un auteur insaisissable.
1997	Alfonso Gomez dit plancher sur «une stratégie pour une exploitation plus respectueuse des lieux».
"1998	Alfredsson, qui fêtera son 50e anniversaire de naissance le mois prochain, a été laissé à l’écart lors de ses quatre premières années d’admissibilité avant que le groupe d’intronisés de 2021 soit supprimé en raison de la pandémie de COVID-19."
"1999	Algerie Foot: Djahid Zefizef a été élu, jeudi matin, nouveau président de la Fédération algérienne de football, pour succéder au président démissionnaire, Charafeddine Amara."
"2000	Algérie Foot: L’ancien international algérien, Antar Yahia, a rejoint lundi matin le club russe du Spartak Moscou, pour occuper le poste de directeur technique."
"2001	Algérie Foot: La page officielle de Sky News Arabic a révélé que l’ancienne star camerounaise, Samuel Eto’o, l’actuel président de la Fédération camerounaise de football, a clairement fait savoir qu’il ne dirait rien sur le stade de Japoma."
"2002	Algerie Foot: L’électeur national Djamel Belmadi, accompagné de ses louveteaux de l’équipe nationale algérienne, débutera sa campagne lors des éliminatoires de la Coupe d’Afrique des nations Côte d’Ivoire 2023, samedi."
2003	Algerie: Le film algérien « Sola » a remporté le prix du meilleur film au Festival du film de Malmö en Suède.
"2004	Algerie: Le président de la République, Abdelmadjid Tebboune, a reçu ce lundi, le doyen de la Mosquée de Paris, le docteur chams El-Din Hafez."
2005	Algérie météo annonce de la pluie et des orages sur 20 wilayas pour aujourd’hui.
2006	Alger – Nantes – Alger : les vols du SF3012 et SF3013 sont prévus pour tous les vendredis et dimanches.
"2007	À l’heure actuelle, 40 à 60% des plastiques sont recyclés."
"2008	A l'heure actuelle, 60% de la population a reçu sa dose de rappel en Flandre, 46% en Communauté germanophone, 45,8% en Wallonie et 28,9% à Bruxelles (pour une moyenne de 52,4% en Belgique)."
"2009	À l’heure actuelle, des discussions sont toujours en cours entre les responsables des clubs concernés et les responsables du Gai Logis."
"2010	A l'heure actuelle, difficile de savoir si vous obtenez directement la carte de Dying Light 2 avec ces indications et quelle liberté vous aurez pour aller explorer la ville et progresser dans l'histoire."
"2011	À l’heure actuelle, la Suisse représente les intérêts de la Géorgie en Russie, les relations diplomatiques entre ces deux pays de l’ex-URSS étant rompues depuis 2008."
"2012	A l'heure actuelle, le groupe de garçons n'a pas encore été identifié, mais ils risquent en tout cas des sanctions de la part de l'université."
"2013	À l’heure actuelle, le répertoire comprend 189 projets réalisés par plus de 30 organisations différentes."
"2014	À l’heure actuelle, les composants PC redeviennent un peu plus accessibles et les joueurs pourraient enfin voir le bout du tunnel sur les prix des composants qu’on a pu connaître ces derniers mois."
"2015	""À l'heure actuelle, les contaminations augmentent de 85 % (NDLR: ce mercredi, l'augmentation était même de 96% selon les derniers chiffres de Sciensano)."
"2016	À l’heure actuelle, nous ne savons pas encore les améliorations que nous réserve cette nouvelle puce."
"2017	À l’heure actuelle, nous ne savons pas si le remake passera une tête lors de la période de l’E3 en dévoilant une nouvelle cinématique pouvant faire officie de bande-annonce, mais du concret sera dévoilé au moment d’Halloween, soit cet automne."
"2018	A l'heure actuelle, on diagnostique le burn-out au moyen de tests psychologiques qui prennent la forme de réponses graduées."
"2019	À l’heure actuelle, on n’a pas de solution."""
"2020	À l’heure actuelle, seule une poignée de caisses de pension ont recours à cet outil."
"2021	À l'heure d'écrire ces lignes, l'état de santé de la victime n'est pas du tout inquiétant."
"2022	A l'heure d'écrire ces lignes, Romelu Lukaku doit certainement plus penser à récupérer sa place de titulaire qu'à un départ."
"2023	A l’heure de la COP15, la Suisse ne protège pas assez la biodiversité sur son sol, déplore Thomas Wirth."
"2024	À l’heure de la mobilité douce, comment peut-on créer un éclairage des pistes cyclables, certes artistique, mais dangereux?"
"2025	A l'heure de rédiger ces lignes, les pompiers étaient toujours sur place."
"2026	À l’heure où la comtesse douairière pensait mettre la dernière main à son testament, le passé se rappelle à son bon souvenir, obligeant ses héritiers directs, Lord et Lady Grantham (Hugh Bonneville et Elizabeth McGovern), à se rendre sur place."
"2027	A l’heure où le concept de sororité émerge enfin, que reste-t-il de ce cliché?"
"2028	À l'heure où le RC Toulon traine sa peine en championnat, où le club varois se retrouve lanterne rouge après la victoire arrachée par Biarritz, son ailier Gabin Villière s'éclate avec le XV de France."
"2029	À l'heure où les Français se déplacent à travers l'Hexagone pour retrouver leurs proches, cette période de fêtes de fin d'année est aussi propice aux tentatives d'escroquerie."
"2030	A l’heure où l’explosion du nombre de cycliste se poursuit dans la capitale, l’entreprise spécialisée dans le parking BePark annonce aujourd’hui sa collaboration avec la start-up pour permettre le développement de parkings pour vélos sécurisés."
"2031	À l'heure où nous écrivons ces lignes, la réponse reste inconnue."
"2032	A l’heure où nous mettions sous presse, il reste encore 3 matchs à disputer et l’édition 2022 de la Coupe du monde fait déjà nettement mieux qu’Afrique du Sud 2010 (145 buts) et qu’Allemagne 2006 (147 buts)."
"2033	À l’heure où nous mettions sous presse, les secours étaient toujours sur les lieux pour tenter de réanimer la victime."
"2034	A l’heure où nous rédigeons cette dépêche, 4 détenus ont déjà été rattrapés par les gardiens."
"2035	A l’heure où nous sommes en train de signer cette dépêche, la cité du Hamana, les autorités à travers les renforts militaires ont réussi à quadriller la cité et un calme précaire y règne."
"2036	A l’heure où s’écrivent ces quelques lignes, nous ne savons pas si la récompense figure au programme de la version américaine ou européenne."
"2037	À l'heure où sont écrites ces lignes, déjà 750 000 euros ont été récoltés."
"2038	« À l’hiver 2017-2018, on a commencé à se réunir entre députés de sensibilité de gauche."
"2039	A l’honneur dans un documentaire, la cascadeuse française s’épanouit en pionnière dans un domaine très masculin."
"2040	A l’hôpital, le personnel médical n’a pu que constater son décès."
"2041	À l'hôpital, principale variable utilisée par le gouvernement pour imposer ou non des mesures de restriction, les nouvelles admissions en moyenne glissante sur sept jours progressent également (+12,9% entre le 1er décembre et le 8 décembre)."
"2042	A l'horizon du prochain projet de loi de finances, à l'automne 2022, c'est une reconfiguration de notre défense et donc une augmentation substantielle du budget militaire à laquelle il faut s'attendre."
"2043	Alibaba et JD.com ont perdu environ 20% depuis la fin du mois de décembre, tandis que XD a perdu plus de la moitié de sa valeur d’alors."
2044	Ali Bongo se pose et s’impose à Londres comme un défenseur très fervent du climat ce qui ne manque pas de séduire l’actuel Roi Britannique Charles III qui lui fait les honneurs de sa maison…
2045	Ali Boutaher Akdad et la première fraction au «Triangle de la mort»
